"id","displayname","latitude","longitude","day","month","year","literaturelink","Secondary sample accession","Alternative sample name 2","Host","Environmental sample","City/region","Collection date","Host status","Run accession","Alternative sample name 1","Study accession","Sample alias","Isolation source","Accession","Host sex","Country","Sample accession","Collected by","Experiment accession"
"62ac3c523090e514bc4be716","03-311-0071","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e537a94be718","04153260899A","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e54c414be717","39282_B01","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e5a20d4be719","AJ055","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e57cfb4be71a","AJ292","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e536214be729","ASM1178442v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e566194be72a","ASM1330524v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e59a974be72b","ASM1372827v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e5140f4be72c","ASM1421741v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e578ed4be72d","ASM1448939v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e5ed874be72e","ASM1527801v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e59b014be72f","ASM1528418v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e56c754be730","ASM1528600v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e533dc4be731","ASM1528672v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e560854be732","ASM1528715v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e51b814be733","ASM1528780v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e575b84be734","ASM1529056v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e5f6574be736","ASM1763894v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e537d04be737","ASM1763908v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e527ee4be738","ASM1832404v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e54c5e4be71b","ASM1956v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e5ce8c4be71f","ASM198951v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e502074be720","ASM198953v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e51abe4be73a","ASM2052560v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e5b54e4be73b","ASM2052562v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e5ca234be73c","ASM2099540v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e5105a4be73d","ASM2122883v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e59d4a4be721","ASM215676v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e522794be73e","ASM2245378v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e54ab04be71c","ASM2546v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e572c74be723","ASM285291v4","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e54bcc4be724","ASM329042v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e555874be726","ASM401489v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e5b5454be71d","ASM81220v2","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e5b77b4be71e","ASM94163v2","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e528db4be727","ASM949771v1","","","","","","","","","","","","","","","","","","","","","","","",""
"62ac3c523090e564a24be728","ASM964897v1","","","","","","","","","","","","","","","","","","","","","","","",""
"5f48c5a2677a55214d246d50","SAMD00055778",43,12,"","",2012,"","DRS040059","","Human","","","","","DRR065624","SAMD00055778","","","","","","Italy","SAMD00055778","",""
