out	species	Categorical agreement	Sensitivity	Specificity	ME	VME	MinE	N
R	Klebsiella pneumoniae species complex	96.12%	96.1%	96.14%	1.58%	2.78%	5.26%	12167
NWT	Klebsiella pneumoniae species complex	94.39%	91.64%	97.87%	1.58%	2.78%	5.26%	12167
R	Klebsiella pneumoniae	96.03%	96.28%	95.71%	1.73%	2.71%	5.21%	10634
R	Klebsiella quasipneumoniae subsp. quasipneumoniae	98.41%	96.15%	98.77%	0%	3.85%	3.7%	189
R	Klebsiella quasipneumoniae subsp. similipneumoniae	90.21%	87.84%	91.04%	3.39%	2.7%	11.19%	286
R	Klebsiella variicola subsp. variicola	98.17%	92.06%	99.01%	0.81%	6.35%	4.53%	1037
NWT	Klebsiella pneumoniae	94.38%	92.31%	97.58%	1.73%	2.71%	5.21%	10634
NWT	Klebsiella quasipneumoniae subsp. quasipneumoniae	96.83%	81.82%	100%	0%	3.85%	3.7%	189
NWT	Klebsiella quasipneumoniae subsp. similipneumoniae	93.01%	88.07%	96.05%	3.39%	2.7%	11.19%	286
NWT	Klebsiella variicola subsp. variicola	94.41%	70.18%	99.19%	0.81%	6.35%	4.53%	1037
