Prediction,Dataset,Country,Categorical agreement,Sensitivity,Specificity,ME,VME,%R,N
R,EUSCAPE & EURECA,Various European countries,96.95%,97.1%,96.41%,3.59%,2.9%,79.09%,2133
NWT,EUSCAPE & EURECA,Various European countries,91.37%,90.23%,98.63%,1.37%,9.77%,86.36%,2133
R,JARBS-GNR,Japan,78.54%,94.88%,59.48%,40.52%,5.12%,53.84%,834
NWT,JARBS-GNR,Japan,94.48%,96.24%,89.64%,10.36%,3.76%,73.38%,834
R,India GHRU,India,93.84%,98.19%,73.68%,26.32%,1.81%,82.28%,536
NWT,India GHRU,India,95.71%,98.89%,78.57%,21.43%,1.11%,84.33%,536
R,AGAR GnSOP,Australia,82.27%,86.67%,77.39%,22.61%,13.33%,52.58%,485
NWT,AGAR GnSOP,Australia,87.22%,87.7%,86.31%,13.69%,12.3%,65.36%,485
R,Oxfordshire,United Kingdom,95.25%,78.38%,97.67%,2.33%,21.62%,12.54%,295
NWT,Oxfordshire,United Kingdom,94.58%,75.47%,98.76%,1.24%,24.53%,17.97%,295
R,IZSAM,Italy,97.88%,98.9%,70%,30%,1.1%,96.47%,283
NWT,IZSAM,Italy,98.23%,98.55%,85.71%,14.29%,1.45%,97.53%,283
R,MBIRA,"Tanzania, Ethiopia, Malawi, Zambia, Ghana, Nigeria, South Africa",72.27%,89.92%,54.33%,45.67%,10.08%,50.39%,256
NWT,MBIRA,"Tanzania, Ethiopia, Malawi, Zambia, Ghana, Nigeria, South Africa",75.78%,95.8%,50.44%,49.56%,4.2%,55.86%,256
R,Controlling Superbugs study & Victorian CPE program,Australia,90.09%,96.08%,74.58%,25.42%,3.92%,72.17%,212
NWT,Controlling Superbugs study & Victorian CPE program,Australia,82.08%,83.51%,66.67%,33.33%,16.49%,91.51%,212
R,IRCCS Ospedale San Raffaele,Italy,98.48%,99.47%,81.82%,18.18%,0.53%,94.44%,198
NWT,IRCCS Ospedale San Raffaele,Italy,98.48%,98.94%,88.89%,11.11%,1.06%,95.45%,198
R,HURYC & CIBERINFEC,"Spain, Portugal",82.08%,89.73%,40.74%,59.26%,10.27%,84.39%,173
NWT,HURYC & CIBERINFEC,"Spain, Portugal",84.97%,90.85%,40%,60%,9.15%,88.44%,173
R,HULP,Spain,97.3%,97.79%,91.67%,8.33%,2.21%,91.89%,148
NWT,HULP,Spain,97.3%,97.81%,90.91%,9.09%,2.19%,92.57%,148
R,MBIRA*,"Ethiopia, South Africa, Tanzania",95.6%,20%,100%,0%,80%,5.49%,91
NWT,MBIRA*,"Ethiopia, South Africa, Tanzania",95.6%,20%,100%,0%,80%,5.49%,91
R,Oxfordshire*,United Kingdom,98.48%,NaN%,98.48%,1.52%,NaN%,0%,66
NWT,Oxfordshire*,United Kingdom,95.45%,0%,98.44%,1.56%,100%,3.03%,66
R,SCHARKI,Germany,94.64%,100%,94.44%,5.56%,0%,3.57%,56
NWT,SCHARKI,Germany,92.86%,60%,96.08%,3.92%,40%,8.93%,56
R,Queen Elizabeth Central Hospital,Malawi,86.16%,78.83%,95.4%,4.6%,21.17%,55.77%,737
NWT,Queen Elizabeth Central Hospital,Malawi,76.39%,68.58%,97.96%,2.04%,31.42%,73.41%,737
R,University of Zurich,Switzerland,91.67%,100%,68.42%,31.58%,0%,73.61%,72
NWT,University of Zurich,Switzerland,93.06%,95.08%,81.82%,18.18%,4.92%,84.72%,72
R,Addis Ababa University*,Ethiopia,100%,100%,100%,0%,0%,40%,70
NWT,Addis Ababa University*,Ethiopia,92.86%,84.85%,100%,0%,15.15%,47.14%,70
R,CHAMPS,South Africa,90%,85.71%,94.74%,5.26%,14.29%,52.5%,40
NWT,CHAMPS,South Africa,92.5%,90.91%,94.44%,5.56%,9.09%,55%,40
