strain	Antibiotic	Resistance.phenotype	WT_vs_nonWT	nonWT_binary	resistant	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact
100548-2-19	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2019	Vitek	NA	NA	ERR7672029	SAMEA11577358	PRJEB49326		Adrian Egli (ad.egli@unibas.ch), Helena Seth-Smith (Helena.Seth-Smith@usb.ch), Aline Cuénod (aline.cuenod@stud.unibas.ch)
106CM1	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367678	SAMEA7077349	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
10PM1	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367487	SAMEA7077158	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
111CP1	ciprofloxacin	S	wt (S)	0	0	NA	0.03	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367680	SAMEA7077351	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
111PM2	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367682	SAMEA7077353	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
118CM3	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367686	SAMEA7077357	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
120CM1	ciprofloxacin	R	non-wt (I/R)	1	1	NA	8	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367688	SAMEA7077359	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
120PM2	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367690	SAMEA7077361	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
121261-18	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek	NA	NA	ERR7672030	SAMEA11577360	PRJEB49326		Adrian Egli (ad.egli@unibas.ch), Helena Seth-Smith (Helena.Seth-Smith@usb.ch), Aline Cuénod (aline.cuenod@stud.unibas.ch)
127940-19	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2019	Vitek	NA	NA	ERR7672031	SAMEA11577362	PRJEB49326		Adrian Egli (ad.egli@unibas.ch), Helena Seth-Smith (Helena.Seth-Smith@usb.ch), Aline Cuénod (aline.cuenod@stud.unibas.ch)
12PP2	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367492	SAMEA7077163	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
130765-18	ciprofloxacin	R	non-wt (I/R)	1	1	=	1	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek	NA	NA	ERR7672032	SAMEA11577364	PRJEB49326		Adrian Egli (ad.egli@unibas.ch), Helena Seth-Smith (Helena.Seth-Smith@usb.ch), Aline Cuénod (aline.cuenod@stud.unibas.ch)
138096-18	ciprofloxacin	R	non-wt (I/R)	1	1	=	1	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek	NA	NA	ERR7672033	SAMEA11577366	PRJEB49326		Adrian Egli (ad.egli@unibas.ch), Helena Seth-Smith (Helena.Seth-Smith@usb.ch), Aline Cuénod (aline.cuenod@stud.unibas.ch)
13UM3	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367496	SAMEA7077167	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
145605-17	ciprofloxacin	R	non-wt (I/R)	1	1	=	1	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek	NA	NA	ERR7672034	SAMEA11577368	PRJEB49326		Adrian Egli (ad.egli@unibas.ch), Helena Seth-Smith (Helena.Seth-Smith@usb.ch), Aline Cuénod (aline.cuenod@stud.unibas.ch)
152PP1	ciprofloxacin	S	wt (S)	0	0	NA	0.06	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367715	SAMEA7077386	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
158CM1	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367716	SAMEA7077387	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
162PP1	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367719	SAMEA7077390	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
165CM1	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367720	SAMEA7077391	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
1668_HSAC	ciprofloxacin	R	non-wt (I/R)	1	1	NA	6	mm	Disk diffusion	EUCAST	v11.0 	NA	NA	NA	ERR10030788	SAMEA110371353	PRJEB38289	33753763	Taane Clark (taane.clark@lshtm.ac.uk)
16UM1	ciprofloxacin	R	non-wt (I/R)	1	1	>	8	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367503	SAMEA7077174	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
17UM2	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367507	SAMEA7077178	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
18090_3_11	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
18090_3_14	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
18090_3_26	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
18090_3_27	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
18090_3_3	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
18090_3_5	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
18090_3_7	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
1885_HSAC	ciprofloxacin	R	non-wt (I/R)	1	1	NA	18	mm	Disk diffusion	EUCAST	v11.0 	NA	NA	NA	ERR10030803	SAMEA110371368	PRJEB38289	33753763	Taane Clark (taane.clark@lshtm.ac.uk)
1UM1	ciprofloxacin	R	non-wt (I/R)	1	1	NA	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367470	SAMEA7077141	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
1UP2	ciprofloxacin	S	wt (S)	0	0	NA	0.03	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	ERR4367471	SAMEA7077142	PRJEB38540	33829268	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1000	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530419	SAMEA8399236	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
2018-01-1001	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR5530452	SAMEA8399237	PRJEB43870	34557173 + Kaspersen_2023_in_prep	Marianne Sunde (marianne.sunde@vetinst.no)
