strain	Antibiotic	Resistance.phenotype	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact	Source.Type	Host	Source.details	Infection.status	Country	City	Collection.Year
uk_18B26G	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276934	SAMEA1904972	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8C2G	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276970	SAMEA1904978	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18A3B	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276960	SAMEA1904979	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19C8D	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276965	SAMEA1904982	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17A11D	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276924	SAMEA1904985	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19C21C	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276966	SAMEA1904989	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7B1H	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276951	SAMEA1904991	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_18B12I	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276989	SAMEA1904993	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17C22I	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276959	SAMEA1904995	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_7C2E	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276976	SAMEA1905001	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_17A1L	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276985	SAMEA1905004	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8C25C	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276945	SAMEA1905005	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8A23D	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276943	SAMEA1905011	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_19A31B	ciprofloxacin	S	<=	0.125	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276935	SAMEA1905015	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
uk_8B30E	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR276952	SAMEA1905017	PRJEB1963	23722448	Nicole Stoesser	Human	Human	Blood	Infection	UK	-	2008-2011
