response,Model,Determinant,est,ci.lower,ci.upper,pval
R,2a,(Intercept),-3.416641895108662,-3.5592339953908825,-3.279660362360803,0
R,2a,QRDR_mutations,3.359769565844756,3.179661706081024,3.554366432819114,0
R,2a,acquired_genes,4.134121911828645,3.9418508033995883,4.330369751690531,0
R,2a,aac6,1.9835948060446211,1.7358653543636793,2.2347628845722785,0
R,2b,(Intercept),-3.459984101266124,-3.6120145245815465,-3.3146717955159817,0
R,2b,QRDR_mutations,3.5011739160267674,3.30019300060967,3.719794985596329,0
R,2b,aac6,2.279938965475559,1.8895847084084108,2.653651698406546,0
R,2b,acquired_genes,4.173491674316774,3.960810717312543,4.390960916070351,0
R,2b,QRDR_mutations:aac6,-1.2574688676107875,-1.6621816984816693,-0.7986469305298586,2.3180753262463938e-6
R,2b,aac6:acquired_genes,-0.2729920282524056,-0.7599316332675905,0.2313737981106622,0.2846061057306025
NWT,2a,(Intercept),-2.228165410397628,-2.315424101100623,-2.1428540638064857,0
NWT,2a,QRDR_mutations,2.9077895117400154,2.7260112185214496,3.108078203576684,0
NWT,2a,acquired_genes,4.316978836806595,4.095660509345772,4.548248196862897,0
NWT,2a,aac6,1.494537905244714,1.2230860613717207,1.7661629677652102,0
NWT,2b,(Intercept),-2.253124119099553,-2.3424201830851143,-2.165910638341654,0
NWT,2b,QRDR_mutations,3.0330610554077824,2.8293263128353727,3.2596095711750896,0
NWT,2b,aac6,1.8198291531453223,1.49536308501032,2.138356237675093,0
NWT,2b,acquired_genes,4.428051179898342,4.176687845636475,4.69357657242321,0
NWT,2b,QRDR_mutations:aac6,-1.0617582017566598,-1.4692485890096576,-0.5938261479862718,6.637433365930256e-5
NWT,2b,aac6:acquired_genes,-0.6450561964302511,-1.181333745901766,-0.08896862957696258,0.023473179892488982
