Dataset	N	Prediction	%R	Categorical agreement	Categorical_agreement_conf_int_lower_bound	Categorical_agreement_conf_int_upper_bound	ME	ME_conf_int_lower_bound	ME_conf_int_upper_bound	VME	VME_conf_int_lower_bound	VME_conf_int_upper_bound	Sensitivity	Sensitivity_conf_int_lower_bound	Sensitivity_conf_int_upper_bound	Specificity	Specificity_conf_int_lower_bound	Specificity_conf_int_upper_bound
A (EUCAST)	2133	R	79.09%	96.95%	96.22%	97.68%	3.59%	1.86%	5.31%	2.9%	2.1%	3.71%	97.1%	96.29%	97.9%	96.41%	94.69%	98.14%
A (EUCAST)	2133	NWT	86.36%	91.37%	90.18%	92.57%	1.37%	0.04%	2.71%	9.77%	8.42%	11.13%	90.23%	88.87%	91.58%	98.63%	97.29%	99.96%
G (CLSI)	834	R	53.84%	78.54%	75.75%	81.32%	40.52%	35.62%	45.42%	5.12%	3.08%	7.16%	94.88%	92.84%	96.92%	59.48%	54.58%	64.38%
G (CLSI)	834	NWT	73.38%	94.48%	92.94%	96.03%	10.36%	6.35%	14.37%	3.76%	2.25%	5.26%	96.24%	94.74%	97.75%	89.64%	85.63%	93.65%
B (EUCAST)	536	R	82.28%	93.84%	91.81%	95.88%	26.32%	17.46%	35.17%	1.81%	0.57%	3.06%	98.19%	96.94%	99.43%	73.68%	64.83%	82.54%
B (EUCAST)	536	NWT	84.33%	95.71%	93.99%	97.42%	21.43%	12.65%	30.2%	1.11%	0.14%	2.07%	98.89%	97.93%	99.86%	78.57%	69.8%	87.35%
C (EUCAST)	485	R	52.58%	82.27%	78.87%	85.67%	22.61%	17.2%	28.01%	13.33%	9.16%	17.51%	86.67%	82.49%	90.84%	77.39%	71.99%	82.8%
C (EUCAST)	485	NWT	65.36%	87.22%	84.24%	90.19%	13.69%	8.49%	18.89%	12.3%	8.69%	15.92%	87.7%	84.08%	91.31%	86.31%	81.11%	91.51%
D (EUCAST)	295	R	12.54%	95.25%	92.83%	97.68%	2.33%	0.49%	4.16%	21.62%	8.36%	34.89%	78.38%	65.11%	91.64%	97.67%	95.84%	99.51%
D (EUCAST)	295	NWT	17.97%	94.58%	91.99%	97.16%	1.24%	-0.15%	2.63%	24.53%	12.94%	36.11%	75.47%	63.89%	87.06%	98.76%	97.37%	100.15%
IZSAM	283	R	96.47%	97.88%	96.2%	99.56%	30%	1.6%	58.4%	1.1%	-0.14%	2.34%	98.9%	97.66%	100.14%	70%	41.6%	98.4%
IZSAM	283	NWT	97.53%	98.23%	96.7%	99.77%	14.29%	-11.64%	40.21%	1.45%	0.04%	2.86%	98.55%	97.14%	99.96%	85.71%	59.79%	111.64%
H (CLSI)	256	R	50.39%	72.27%	66.78%	77.75%	45.67%	37.01%	54.33%	10.08%	4.88%	15.27%	89.92%	84.73%	95.12%	54.33%	45.67%	62.99%
H (CLSI)	256	NWT	55.86%	75.78%	70.53%	81.03%	49.56%	40.34%	58.78%	4.2%	0.91%	7.48%	95.8%	92.52%	99.09%	50.44%	41.22%	59.66%
I (CLSI)	212	R	72.17%	90.09%	86.07%	94.12%	25.42%	14.31%	36.53%	3.92%	0.85%	7%	96.08%	93%	99.15%	74.58%	63.47%	85.69%
I (CLSI)	212	NWT	91.51%	82.08%	76.91%	87.24%	33.33%	11.56%	55.11%	16.49%	11.27%	21.72%	83.51%	78.28%	88.73%	66.67%	44.89%	88.44%
IRCCS Ospedale San Raffaele	198	R	94.44%	98.48%	96.78%	100.19%	18.18%	-4.61%	40.97%	0.53%	-0.51%	1.58%	99.47%	98.42%	100.51%	81.82%	59.03%	104.61%
IRCCS Ospedale San Raffaele	198	NWT	95.45%	98.48%	96.78%	100.19%	11.11%	-9.42%	31.64%	1.06%	-0.4%	2.52%	98.94%	97.48%	100.4%	88.89%	68.36%	109.42%
E (EUCAST)	173	R	84.39%	82.08%	76.37%	87.8%	59.26%	40.73%	77.79%	10.27%	5.35%	15.2%	89.73%	84.8%	94.65%	40.74%	22.21%	59.27%
