Determinant,Total (% of genomes),Susceptible (% of phenotype with determinant),Resistant (% of phenotype with determinant),PPV for Resistant,"Association with Resistance (OR, p-value)",NWT (% of phenotype with determinant),PPV for NWT,"Association with NWT (OR, p-value)"
GyrA-83,n=4704 (38.66%),n=42 (0.78%),n=4640 (75.12%),98.64%,279.53 (p=0.0e+00),n=4662 (68.77%),99.11%,280.31 (p=0.0e+00)
GyrA-83F,n=1296 (10.65%),n=8 (0.15%),n=1280 (20.72%),98.77%,97.59 (p=0.0e+00),n=1288 (19%),99.38%,157.75 (p=0.0e+00)
GyrA-83I,n=2998 (24.64%),n=27 (0.5%),n=2967 (48.03%),98.97%,177.67 (p=0.0e+00),n=2971 (43.83%),99.1%,154.91 (p=0.0e+00)
GyrA-83L,n=11 (0.09%),0,n=11 (0.18%),100%,-,n=11 (0.16%),100%,-
GyrA-83Y,n=399 (3.28%),n=7 (0.13%),n=382 (6.18%),95.74%,23.16 (p=3.2e-91),n=392 (5.78%),98.25%,47.18 (p=3.3e-90)
GyrA-87,n=2412 (19.82%),n=19 (0.35%),n=2386 (38.63%),98.92%,144.37 (p=0.0e+00),n=2393 (35.3%),99.21%,154.17 (p=0.0e+00)
GyrA-87A,n=910 (7.48%),n=7 (0.13%),n=903 (14.62%),99.23%,146.34 (p=1.2e-266),n=903 (13.32%),99.23%,118.13 (p=1.1e-227)
GyrA-87F,n=1 (0.01%),0,n=1 (0.02%),100%,-,n=1 (0.01%),100%,-
GyrA-87G,n=165 (1.36%),n=6 (0.11%),n=159 (2.57%),96.36%,26.35 (p=2.8e-39),n=159 (2.35%),96.36%,21.54 (p=4.5e-33)
GyrA-87H,n=1 (0.01%),n=1 (0.02%),0,-,-,0,-,-
GyrA-87N,n=1305 (10.73%),n=5 (0.09%),n=1295 (20.96%),99.23%,158.63 (p=0.0e+00),n=1300 (19.18%),99.62%,255.44 (p=0.0e+00)
GyrA-87Y,n=30 (0.25%),0,n=28 (0.45%),93.33%,13.63 (p=9.1e-07),n=30 (0.44%),100%,-
ParC-80,n=4134 (33.98%),n=36 (0.67%),n=4093 (66.26%),99.01%,284.97 (p=0.0e+00),n=4098 (60.45%),99.13%,227.24 (p=0.0e+00)
ParC-80I,n=4132 (33.96%),n=36 (0.67%),n=4091 (66.23%),99.01%,284.56 (p=0.0e+00),n=4096 (60.42%),99.13%,226.96 (p=0.0e+00)
