Sample	gene	contig	perc_ID	perc_query_length	start	stop
120PM2	oqxa	3	99.4	100	398515	397340
120PM2	IS1351_IS3_IS407	3	91.47	100	406488	407681
120PM2	oqxa	3	99.4	100	398515	397340
120PM2	ISEcl10_IS3_IS407	3	92.96	100	406488	407681
158CM1	oqxa	5	99.49	100	338860	337685
158CM1	ISEhe3_IS3_IS51	5	87.4	100.081367	344901	346129
18090_3_27	oqxa	3	98.98	100	43141	44316
18090_3_27	IS1400_IS3_IS407	3	83.72	98.75724938	37806	36617
18090_3_5	oqxa	12	99.32	100	136734	135559
18090_3_5	IS1351_IS3_IS407	12	92.29	100	143419	142214
18090_3_5	oqxa	12	99.32	100	136734	135559
18090_3_5	ISEcl10_IS3_IS407	12	94.61	100	143419	142214
1UP2	oqxa	2	99.66	100	36395	37570
1UP2	ISEch12_IS3_IS407	2	90.5	100	27213	28423
1UP2	oqxa	2	99.66	100	36395	37570
1UP2	ISKpn54_IS3_IS407	2	95.05	100	27213	28423
2018-01-1095	oqxa	2	99.57	100	397167	395992
2018-01-1095	ISEam1_IS3_IS51	2	91.01	97.72357724	403088	401888
2018-01-1095	oqxa	2	99.57	100	397167	395992
2018-01-1095	ISEc14_IS3_IS51	2	97.09	94.64988198	403088	401886
2018-01-1095	oqxa	2	99.57	100	397167	395992
2018-01-1095	ISEc15_IS3_IS51	2	80.88	100.3252033	403088	401859
2018-01-1095	oqxa	2	99.57	100	397167	395992
2018-01-1095	ISEc24_IS3_IS51	2	80.89	99.10569106	403074	401859
2018-01-1097	oqxa	15	99.57	100	54402	53227
2018-01-1097	ISEam1_IS3_IS51	15	91.01	97.72357724	60323	59123
2018-01-1097	oqxa	15	99.57	100	54402	53227
2018-01-1097	ISEc14_IS3_IS51	15	97.09	94.64988198	60323	59121
2018-01-1097	oqxa	15	99.57	100	54402	53227
2018-01-1097	ISEc15_IS3_IS51	15	80.88	100.3252033	60323	59094
2018-01-1097	oqxa	15	99.57	100	54402	53227
2018-01-1097	ISEc24_IS3_IS51	15	80.89	99.10569106	60309	59094
2018-01-1148	oqxa	20	99.57	100	54412	53237
2018-01-1148	ISEam1_IS3_IS51	20	91.01	97.72357724	60333	59133
2018-01-1148	oqxa	20	99.57	100	54412	53237
2018-01-1148	ISEc14_IS3_IS51	20	97.09	94.64988198	60333	59131
2018-01-1148	oqxa	20	99.57	100	54412	53237
2018-01-1148	ISEc15_IS3_IS51	20	80.88	100.3252033	60333	59104
2018-01-1148	oqxa	20	99.57	100	54412	53237
2018-01-1148	ISEc24_IS3_IS51	20	80.89	99.10569106	60319	59104
2018-01-1176	oqxa	22	99.57	100	32957	34132
2018-01-1176	ISEam1_IS3_IS51	22	91.01	97.72357724	27036	28236
2018-01-1176	oqxa	22	99.57	100	32957	34132
2018-01-1176	ISEc14_IS3_IS51	22	97.09	94.64988198	27036	28238
2018-01-1176	oqxa	22	99.57	100	32957	34132
2018-01-1176	ISEc15_IS3_IS51	22	80.88	100.3252033	27036	28265
2018-01-1176	oqxa	22	99.57	100	32957	34132
2018-01-1176	ISEc24_IS3_IS51	22	80.89	99.10569106	27050	28265
2018-01-1445	oqxa	4	99.49	100	36731	37906
2018-01-1445	IS1351_IS3_IS407	4	91.96	100	31724	32930
2018-01-1445	oqxa	4	99.49	100	36731	37906
2018-01-1445	ISEcl10_IS3_IS407	4	94.03	100	31724	32930
2018-01-1775	oqxa	2	99.57	100	397167	395992
2018-01-1775	ISEam1_IS3_IS51	2	91.01	97.72357724	403088	401888
2018-01-1775	oqxa	2	99.57	100	397167	395992
2018-01-1775	ISEc14_IS3_IS51	2	97.09	94.64988198	403088	401886
2018-01-1775	oqxa	2	99.57	100	397167	395992
2018-01-1775	ISEc15_IS3_IS51	2	80.88	100.3252033	403088	401859
2018-01-1775	oqxa	2	99.57	100	397167	395992
2018-01-1775	ISEc24_IS3_IS51	2	80.89	99.10569106	403074	401859
2018-01-2050	oqxa	4	99.49	100	335450	334275
2018-01-2050	ISEhe3_IS3_IS51	4	95.37	100.081367	344384	343156
2018-01-2125	oqxa	2	99.57	100	72313	73488
2018-01-2125	ISEam1_IS3_IS51	2	91.01	97.72357724	66392	67592
2018-01-2125	oqxa	2	99.57	100	72313	73488
2018-01-2125	ISEc14_IS3_IS51	2	97.09	94.64988198	66392	67594
2018-01-2125	oqxa	2	99.57	100	72313	73488
2018-01-2125	ISEc15_IS3_IS51	2	80.88	100.3252033	66392	67621
2018-01-2125	oqxa	2	99.57	100	72313	73488
2018-01-2125	ISEc24_IS3_IS51	2	80.89	99.10569106	66406	67621
2018-01-2280	oqxa	2	99.23	100	362095	360920
2018-01-2280	ISEam1_IS3_IS51	2	91.1	97.72357724	368016	366816
2018-01-2280	oqxa	2	99.23	100	362095	360920
2018-01-2280	ISEc14_IS3_IS51	2	97.17	94.64988198	368016	366814
2018-01-2280	oqxa	2	99.23	100	362095	360920
2018-01-2280	ISEc15_IS3_IS51	2	80.96	100.3252033	368016	366787
2018-01-2280	oqxa	2	99.23	100	362095	360920
2018-01-2280	ISEc24_IS3_IS51	2	80.97	99.10569106	368002	366787
2018-01-2485	oqxa	2	99.57	100	72293	73468
2018-01-2485	ISEam1_IS3_IS51	2	91.01	97.72357724	66372	67572
2018-01-2485	oqxa	2	99.57	100	72293	73468
2018-01-2485	ISEc14_IS3_IS51	2	97.09	94.64988198	66372	67574
2018-01-2485	oqxa	2	99.57	100	72293	73468
2018-01-2485	ISEc15_IS3_IS51	2	80.88	100.3252033	66372	67601
2018-01-2485	oqxa	2	99.57	100	72293	73468
2018-01-2485	ISEc24_IS3_IS51	2	80.89	99.10569106	66386	67601
2018-01-2639	oqxa	3	99.32	100	63508	64683
2018-01-2639	ISEam1_IS3_IS51	3	90.6	98.61788618	57588	58799
2018-01-2639	oqxa	3	99.32	100	63508	64683
2018-01-2639	ISEc14_IS3_IS51	3	96.49	98.58379229	57548	58799
2018-01-2639	oqxa	3	99.32	100	63508	64683
2018-01-2639	ISEc15_IS3_IS51	3	80.96	100.3252033	57588	58817
2018-01-2639	oqxa	3	99.32	100	63508	64683
2018-01-2639	ISEc24_IS3_IS51	3	81.08	99.26829268	57602	58817
2018-01-2643	oqxa	4	99.57	100	362107	360932
2018-01-2643	ISEam1_IS3_IS51	4	91.01	97.72357724	368028	366828
2018-01-2643	oqxa	4	99.57	100	362107	360932
2018-01-2643	ISEc14_IS3_IS51	4	97.09	94.64988198	368028	366826
2018-01-2643	oqxa	4	99.57	100	362107	360932
2018-01-2643	ISEc15_IS3_IS51	4	80.88	100.3252033	368028	366799
2018-01-2643	oqxa	4	99.57	100	362107	360932
2018-01-2643	ISEc24_IS3_IS51	4	80.89	99.10569106	368014	366799
2018-01-2699	oqxa	4	99.4	100	385227	384052
2018-01-2699	IS1351_IS3_IS407	4	91.38	100	393200	394393
2018-01-2699	oqxa	4	99.4	100	385227	384052
2018-01-2699	ISEcl10_IS3_IS407	4	92.87	100	393200	394393
2018-01-2782	oqxa	19	99.57	100	32957	34132
2018-01-2782	ISEam1_IS3_IS51	19	91.01	97.72357724	27036	28236
2018-01-2782	oqxa	19	99.57	100	32957	34132
2018-01-2782	ISEc14_IS3_IS51	19	97.09	94.64988198	27036	28238
2018-01-2782	oqxa	19	99.57	100	32957	34132
2018-01-2782	ISEc15_IS3_IS51	19	80.88	100.3252033	27036	28265
2018-01-2782	oqxa	19	99.57	100	32957	34132
2018-01-2782	ISEc24_IS3_IS51	19	80.89	99.10569106	27050	28265
2018-01-3029	oqxa	20	99.57	100	15810	16985
2018-01-3029	ISEam1_IS3_IS51	20	91.01	97.72357724	9889	11089
2018-01-3029	oqxa	20	99.57	100	15810	16985
2018-01-3029	ISEc14_IS3_IS51	20	97.09	94.64988198	9889	11091
2018-01-3029	oqxa	20	99.57	100	15810	16985
2018-01-3029	ISEc15_IS3_IS51	20	80.88	100.3252033	9889	11118
2018-01-3029	oqxa	20	99.57	100	15810	16985
2018-01-3029	ISEc24_IS3_IS51	20	80.89	99.10569106	9903	11118
2018-01-3295	oqxa	4	99.4	100	385227	384052
2018-01-3295	IS1351_IS3_IS407	4	91.38	100	393200	394393
2018-01-3295	oqxa	4	99.4	100	385227	384052
2018-01-3295	ISEcl10_IS3_IS407	4	92.87	100	393200	394393
2018-01-3408	oqxa	3	99.23	100	37859	39034
2018-01-3408	IS1351_IS3_IS407	3	91.88	100	31511	32717
2018-01-3408	oqxa	3	99.23	100	37859	39034
2018-01-3408	ISEcl10_IS3_IS407	3	94.37	100	31511	32717
2018-01-3448	oqxa	22	99.57	100	54412	53237
2018-01-3448	ISEam1_IS3_IS51	22	91.01	97.72357724	60333	59133
2018-01-3448	oqxa	22	99.57	100	54412	53237
2018-01-3448	ISEc14_IS3_IS51	22	97.09	94.64988198	60333	59131
2018-01-3448	oqxa	22	99.57	100	54412	53237
2018-01-3448	ISEc15_IS3_IS51	22	80.88	100.3252033	60333	59104
2018-01-3448	oqxa	22	99.57	100	54412	53237
2018-01-3448	ISEc24_IS3_IS51	22	80.89	99.10569106	60319	59104
2018-01-3776	oqxa	4	99.49	100	21674	22849
2018-01-3776	ISEhe3_IS3_IS51	4	87.4	100.081367	15633	14405
2018-01-3925	oqxa	4	99.57	100	32957	34132
2018-01-3925	ISEam1_IS3_IS51	4	91.01	97.72357724	27036	28236
2018-01-3925	oqxa	4	99.57	100	32957	34132
2018-01-3925	ISEc14_IS3_IS51	4	97.09	94.64988198	27036	28238
2018-01-3925	oqxa	4	99.57	100	32957	34132
2018-01-3925	ISEc15_IS3_IS51	4	80.88	100.3252033	27036	28265
2018-01-3925	oqxa	4	99.57	100	32957	34132
2018-01-3925	ISEc24_IS3_IS51	4	80.89	99.10569106	27050	28265
2018-01-3926	oqxa	3	99.49	100	389428	388253
2018-01-3926	IS1351_IS3_IS407	3	91.96	100	394435	393229
2018-01-3926	oqxa	3	99.49	100	389428	388253
2018-01-3926	ISEcl10_IS3_IS407	3	94.03	100	394435	393229
