"Genome ID","Genome Name","Version","Kleborate version","strain","species","species_match","contig_count","N50","largest_contig","total_size","ambiguous_bases","QC_warnings","ST","virulence_score","resistance_score","num_resistance_classes","num_resistance_genes","Yersiniabactin","YbST","Colibactin","CbST","Aerobactin","AbST","Salmochelin","SmST","RmpADC","RmST","rmpA2","wzi","K_locus","K_type","K_locus_problems","K_locus_confidence","K_locus_identity","K_locus_missing_genes","O_locus","O_type","O_locus_problems","O_locus_confidence","O_locus_identity","O_locus_missing_genes","AGly_acquired","Col_acquired","Fcyn_acquired","Flq_acquired","Gly_acquired","MLS_acquired","Phe_acquired","Rif_acquired","Sul_acquired","Tet_acquired","Tgc_acquired","Tmt_acquired","Bla_acquired","Bla_inhR_acquired","Bla_ESBL_acquired","Bla_ESBL_inhR_acquired","Bla_Carb_acquired","Bla_chr","SHV_mutations","Omp_mutations","Col_mutations","Flq_mutations","truncated_resistance_hits","spurious_resistance_hits","Chr_ST","gapA","infB","mdh","pgi","phoE","rpoB","tonB","ybtS","ybtX","ybtQ","ybtP","ybtA","irp2","irp1","ybtU","ybtT","ybtE","fyuA","clbA","clbB","clbC","clbD","clbE","clbF","clbG","clbH","clbI","clbL","clbM","clbN","clbO","clbP","clbQ","iucA","iucB","iucC","iucD","iutA","iroB","iroC","iroD","iroN","rmpA","rmpD","rmpC","spurious_virulence_hits"
"65cdd7cd107c347315885965","SAMN36415728","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","128","127165","458001","5377270","yes (98)","ambiguous_bases","ST367-2LV","0","0","1","2","-","0","-","0","-","0","-","0","-","0","-","-","unknown (KL174)","unknown (KL174)","?-+","None","99.47%","KL174_03_wzi,KL174_04_wza,KL174_05_wzb,KL174_06_wzc,KL174_07_wzy,KL174_08,KL174_09_wzx,KL174_10_pglJ,KL174_11,KL174_12_wcpF,KL174_13_wcuI,KL174_14,KL174_15_wbaZ,KL174_16_wcaJ,KL174_19_manB","unknown (OL102)","unknown (OL102)","?-+","None","73.21%","OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt","-","-","-","-","-","mphE.v2;msrE","-","-","-","-","-","-","-","-","-","-","-","OKP-B-6*?","-","-","-","-","-","-","ST367-2LV","18","15","26","22","11","13","227","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c340fb6885968","SAMN36415725","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","120","356615","729120","5783749","yes (281)","ambiguous_bases","ST1044","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi513","KL115","unknown (KL115)","none","Very high","98.70%","","O5","O5","none","Very high","99.55%","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-8*","-","-","-","-","-","-","ST1044","18","22","18","90","142","13","192","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c348b08885969","SAMN36415724","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","121","356615","808164","5783510","yes (389)","ambiguous_bases","ST1044","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi513","KL115","unknown (KL115)","none","Very high","98.70%","","O5","O5","none","Very high","99.55%","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-8*","-","-","-","-","-","-","ST1044","18","22","18","90","142","13","192","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34559188596a","SAMN36415722","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","122","135225","389404","5739834","yes (291)","ambiguous_bases","ST1803","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi193","KL125","unknown (KL125)","*","High","90.16%","","O12","O12","none","Very high","98.84%","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-4","-","OmpK35-6%","-","-","-","-","ST1803","18","22","161","22","11","13","192","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34243488596d","SAMN36415718","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","113","188689","415107","5503353","yes (487)","ambiguous_bases","ST1136-2LV","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi193","KL125","unknown (KL125)","*","High","90.18%","","O12","O12","none","Very high","98.78%","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-6^","-","-","-","-","-","-","ST1136-2LV","18","22","18","63","231","13","227","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c348edc88596f","SAMN36415711","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. quasipneumoniae","strong","39","598633","1324088","5616563","yes (1085)","ambiguous_bases","ST3494","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi430","KL101","unknown (KL101)","none","Very high","95.91%","","O3/O3a","O3/O3a","none","Very high","95.99%","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-A-8*","-","OmpK35-0%","-","-","-","-","ST3494","17","55","39","222","367","21","162","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c343ab7885971","SAMN36415707","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. quasipneumoniae","strong","33","475450","1323931","5596887","yes (1579)","ambiguous_bases","ST3494","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi430","KL101","unknown (KL101)","none","Very high","95.91%","","O3/O3a","O3/O3a","none","Very high","95.99%","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-A-8*","-","OmpK35-0%","-","-","-","-","ST3494","17","55","39","222","367","21","162","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c346647885972","SAMN36415705","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. similipneumoniae","strong","91","227443","736533","5421760","yes (591)","ambiguous_bases","ST1770-1LV","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","wzi528","KL137","unknown (KL137)","?-+*","Good","96.29%","KL137_22_rmlD","O12","O12","?-","Good","98.93%","O12_03_rfbD","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-B-3","-","-","-","-","-","-","ST1770-1LV","18","22","18*","63","11","13","179","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c348a8c885977","SAMN36415696","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. quasipneumoniae","strong","63","374319","815497","5586866","yes (984)","ambiguous_bases","ST1647","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","-","KL64","K64","?-+*","Good","96.76%","KL64_19_manB","O3/O3a","O3/O3a","?-","Good","96.07%","O3/O3a_02_manB","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-A-5","-","-","-","-","-","-","ST1647","104","19","149","39","207","97","276","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"65cdd7cd107c34729f885978","SAMN36415695","v2.3.3","v2.3.0","","Klebsiella quasipneumoniae subsp. quasipneumoniae","strong","68","293160","939123","5587491","yes (1272)","ambiguous_bases","ST1647","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","-","KL64","K64","?-+*","Good","96.76%","KL64_19_manB","O3/O3a","O3/O3a","?-","Good","96.07%","O3/O3a_02_manB","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","OKP-A-5","-","-","-","-","-","-","ST1647","104","19","149","39","207","97","276","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
